# Frontend Fetch Map
Generated: 20260524_v1

Total caller entries: 458

| frontend_path | kind | file | line |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_evidence_cards.js` | 206 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_metadata_activation_preflight.js` | 61 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_provider_capability_and_source_policy.js` | 152 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_provider_readiness.js` | 144 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_quarantine_and_metadata_results.js` | 118 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_intake_and_query_compiler.js` | 190 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_plan.js` | 181 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_result_review.js` | 117 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_source_gap_matrix.js` | 165 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_source_registry.js` | 170 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/claire_governed_web_search_body_read_planning.js` | 116 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_actions.js` | 121 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_continuous_runtime.js` | 137 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_payload_map.js` | 340 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_workspace_shell.js` | 357 |
| `/api/cockpit/operator-experience/assets/css` | endpoint_literal | `frontend/cockpit/shell/cockpit_shell.html` | 83 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_cockpit_control_surface_force_mount.js` | 220 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_cockpit_operation_controls.js` | 68 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_cockpit_operation_visual_controls.js` | 314 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_cockpit_web_search_convergence.js` | 259 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_body_read_gate.js` | 95 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_body_read_to_source_ingestion.js` | 46 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_controlled_metadata_search.js` | 126 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_evidence_cards.js` | 201 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_metadata_activation_preflight.js` | 56 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_provider_capability_and_source_policy.js` | 147 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_provider_readiness.js` | 139 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_quarantine_and_metadata_results.js` | 113 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_intake_and_query_compiler.js` | 185 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_plan.js` | 176 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_result_review.js` | 112 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_source_gap_matrix.js` | 160 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_source_registry.js` | 165 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/claire_governed_web_search_body_read_planning.js` | 111 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_actions.js` | 116 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_continuous_runtime.js` | 132 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_payload_map.js` | 335 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/assets/enterprise_cockpit_workspace_shell.js` | 352 |
| `/api/cockpit/operator-experience/assets/js` | endpoint_literal | `frontend/cockpit/shell/cockpit_shell.html` | 224 |
| `/api/cockpit/operator-experience/payload` | endpoint_literal | `frontend/cockpit/assets/claire_operator_experience_console.js` | 25 |
| `/api/cockpit/operator-experience/payload` | fetch | `frontend/cockpit/assets/claire_operator_experience_console.js` | 25 |
| `/api/cockpit/search-results/payload` | endpoint_literal | `frontend/cockpit/assets/claire_governed_search_result_review.js` | 3 |
| `/api/cockpit/search/consolidated-payload` | endpoint_literal | `frontend/cockpit/assets/claire_governed_controlled_metadata_search.js` | 5 |
| `/api/cockpit/source-ingestion/payload` | endpoint_literal | `frontend/cockpit/assets/claire_governed_body_read_to_source_ingestion.js` | 2 |
| `/api/cockpit/web-search/actions` | endpoint_literal | `frontend/cockpit/assets/claire_governed_web_search_body_read_planning.js` | 4 |
| `/api/cockpit/web-search/cards` | endpoint_literal | `frontend/cockpit/assets/claire_governed_web_search_body_read_planning.js` | 5 |
| `/api/cockpit/web-search/payload` | endpoint_literal | `frontend/cockpit/assets/claire_governed_web_search_body_read_planning.js` | 3 |
| `/api/command` | endpoint_literal | `frontend/js/api.js` | 31 |
| `/api/command` | endpoint_literal | `frontend/js/claire_canonical_fetch_client.js` | 21 |
| `/api/commands` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 13 |
| `/api/core-run-output/latest` | endpoint_literal | `frontend/command_center/modern/claire_operating_environment.js` | 1071 |
| `/api/dashboard/` | endpoint_literal | `frontend/cockpit/shell/claire_file_origin_canonical_api_bridge.js` | 15 |
| `/api/dashboard/active-control-map` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 835 |
| `/api/dashboard/active-control-map` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 1338 |
| `/api/dashboard/payload` | endpoint_literal | `frontend/cockpit/shared/canonical_payload_adapter.js` | 8 |
| `/api/dashboard/payload` | endpoint_literal | `frontend/cockpit/shell/assets/claire_authored_enterprise_cockpit_shell.js` | 161 |
| `/api/dashboard/payload/status` | endpoint_literal | `frontend/cockpit/shared/canonical_payload_adapter.js` | 10 |
| `/api/dashboard/search/live` | endpoint_literal | `frontend/command_center/modern/assets/js/claire_v18_74_dashboard_live_web_search_final_binding.js` | 6 |
| `/api/dashboard/search/live` | endpoint_literal | `frontend/command_center/modern/assets/js/claire_v18_74_dashboard_live_web_search_final_binding.js` | 70 |
| `/api/dashboard/search/live` | endpoint_literal | `frontend/command_center/modern/dashboard_primary_web_search_binding.js` | 6 |
| `/api/dashboard/search/live` | endpoint_literal | `frontend/command_center/modern/governed_live_search_ui_binding.js` | 4 |
| `/api/dashboard/search/provider/probe` | endpoint_literal | `frontend/command_center/modern/governed_provider_probe_ui_binding.js` | 5 |
| `/api/dashboard/search/provider/status` | endpoint_literal | `frontend/cockpit/modern/claire_cockpit_shell.js` | 8 |
| `/api/dashboard/search/provider/status` | endpoint_literal | `frontend/command_center/modern/assets/js/claire_v18_74_dashboard_live_web_search_final_binding.js` | 7 |
| `/api/dashboard/search/provider/status` | endpoint_literal | `frontend/command_center/modern/governed_provider_probe_ui_binding.js` | 4 |
| `/api/dashboard/search/smoke/google` | endpoint_literal | `frontend/command_center/modern/assets/js/claire_v18_74_dashboard_live_web_search_final_binding.js` | 8 |
| `/api/dashboard/search/smoke/google` | endpoint_literal | `frontend/command_center/modern/dashboard_primary_web_search_binding.js` | 7 |
| `/api/dashboard/state` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 317 |
| `/api/dashboard/state` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 834 |
| `/api/dashboard/state` | endpoint_literal | `frontend/command_center/modern/claire_dashboard.js` | 1324 |
| `/api/dashboard/state` | endpoint_literal | `frontend/command_center/modern/claire_single_screen_operator.js` | 5 |
| `/api/dashboard/system-status` | endpoint_literal | `frontend/export_dashboard/dashboard.js` | 1143 |
| `/api/dashboard/v4/payload` | endpoint_literal | `frontend/operator_dashboard/v4/dashboard_v4.js` | 4 |
| `/api/dashboard/v4/payload` | fetch | `frontend/operator_dashboard/v4/dashboard_v4.js` | 4 |
| `/api/dashboard/v5/payload` | endpoint_literal | `frontend/operator_dashboard/v5/dashboard_v5.js` | 3 |
